"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
@@Cell cycle	PANTHER	P00013	2	16	0.070138735	0.114392158	PSMD4|PSMD13	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00013
Pathways in cancer	KEGG PATHWAY	hsa05200	76	530	9.65E-32	1.53E-29	IL7R|HDAC1|TGFB2|RASGRP4|PTGS2|RASSF1|TPM3|RASGRP2|RASSF5|BIRC2|RET|GNG11|IFNAR2|PLCG2|FOXO1|AKT3|RUNX1T1|IKBKG|CRK|WNT4|ETS1|RALGDS|STAT6|PIK3CA|SPI1|ZBTB16|CCNA1|FAS|JUN|MST1|PAX8|DVL1|AKT1|PIK3R2|PIK3R1|NFKB1|MYC|TERT|TXNRD2|TGFBR2|TCF4|IGF1R|TEP1|IL4R|TRAF6|SP1|PPARG|RXRA|CAMK2B|APPL1|NCOA1|IL15RA|CTBP1|TP53|CXCL12|HEY2|MAPK8|HEY1|IL2RA|IL2RB|E2F3|E2F1|ADCY3|WNT2|ADCY8|IL15|KIT|STAT5B|STAT5A|CREBBP|FZD9|MAPK1|WNT7A|PIK3R3|RALA|TPR	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3601%09red/hsa:3600%09red/hsa:10587%09red/hsa:8503%09red/hsa:7189%09red/hsa:10000%09red/hsa:3560%09red/hsa:3815%09red/hsa:11186%09red/hsa:3480%09red/hsa:3566%09red/hsa:5290%09red/hsa:8517%09red/hsa:8648%09red/hsa:7157%09red/hsa:6667%09red/hsa:6934%09red/hsa:5900%09red/hsa:7476%09red/hsa:7472%09red/hsa:26060%09red/hsa:7175%09red/hsa:115727%09red/hsa:3455%09red/hsa:5599%09red/hsa:23462%09red/hsa:5728%09red/hsa:1871%09red/hsa:1855%09red/hsa:3065%09red/hsa:6688%09red/hsa:2791%09red/hsa:109%09red/hsa:8900%09red/hsa:5743%09red/hsa:6789%09red/hsa:7849%09red/hsa:5336%09red/hsa:3725%09red/hsa:6256%09red/hsa:2113%09red/hsa:3559%09red/hsa:114%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:329%09red/hsa:1487%09red/hsa:23493%09red/hsa:3575%09red/hsa:355%09red/hsa:1398%09red/hsa:6387%09red/hsa:83593%09red/hsa:5979%09red/hsa:8326%09red/hsa:54361%09red/hsa:6776%09red/hsa:6777%09red/hsa:7048%09red/hsa:1387%09red/hsa:5594%09red/hsa:6778%09red/hsa:7015%09red/hsa:7704%09red/hsa:816%09red/hsa:7170%09red/hsa:207%09red/hsa:7042%09red/hsa:5898%09red/hsa:862%09red/hsa:10235%09red/hsa:4609%09red/hsa:1869%09red/hsa:5468%09red/hsa:2308%09red
Adaptive Immune System	Reactome	R-HSA-1280218	88	748	7.45E-31	1.09E-28	TRIM11|RPN2|HUWE1|AKT1|AKT3|CD226|IKBKG|MRC1|MAP3K8|TYROBP|PIK3CA|CUL3|FBXO11|TEP1|SIGLEC11|PPP2CA|RBBP6|CD33|TLR1|TLR4|RNF4|RASGRP2|FBXO7|UBE2D3|LAIR1|THEM4|OSCAR|TUBA1A|KIR2DS2|MTCP1|PILRA|GRAP2|PIK3R3|PIK3R2|PIK3R1|MYD88|NCR3|BLK|PTPN6|PSMD13|KIR2DL3|CD14|RBCK1|PPP2R5D|BTK|CD19|NCF1|TUBA8|PAG1|RAP1A|CD300LF|TRPC1|TREM1|TREM2|CD79A|ZBTB16|CD81|NEDD4|PSMA1|ICAM1|NFKB1|DLC1|CD8A|ITK|DAPP1|CLTA|PPIA|PSMD9|KLRD1|PSMD4|PLCG2|RIPK2|FYN|ZAP70|PSMC1|PSMC4|PSMC5|PSMC6|HECW2|TRAF6|CARD11|KIF18A|THOP1|LCP2|SELL|NEDD4L|PTPRC|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	57	288	2.49E-30	3.35E-28	HDAC1|RPN2|HDAC5|IL1RL1|FYN|HDAC3|PIK3R3|AKT1|FOXO1|AKT3|IRS2|FOXO4|EED|RBBP4|TSC2|THEM4|CHD4|NEDD4|PSMA1|JUN|MAPK1|PHC1|PIK3R2|PIK3R1|PHC2|PSMC1|MYD88|PIP4K2A|PSMC5|PSMC6|SRC|TRIM27|TEP1|TRAF6|PSMD9|NR4A1|PRKCE|CAMK2B|PPARG|IL33|EZH2|PSMD4|TP53|ADCY3|PPP2CA|PSMC4|RBBP7|PSMD13|KIT|ADCY8|PRKAR2B|PIP4K2C|PIK3CA|PPP2R5D|CD19|PIP5K1B|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Innate Immune System	Reactome	R-HSA-168249	102	1043	1.25E-29	1.56E-27	RPN2|LAT2|KIR2DS2|HUWE1|RNF216|IKBKG|MS4A2|MAP3K8|TYROBP|PIK3CA|IRAK3|FCAR|CD33|TRIM25|MUC1|KIR3DS1|PPP2CA|TLR3|TLR1|BST1|TLR4|TLR8|TLR9|RASGRP2|RASGRP4|GAB2|UBE2D3|LAIR1|CRK|XRCC6|OSCAR|MGAM|JUN|GRAP2|PIK3R2|PIK3R1|CYLD|MYD88|PTPRN2|STAT6|PTPN6|CR2|RPS6KA2|MAVS|TNFAIP3|CD14|PPP2R5D|BAIAP2|BTK|CD19|NCF1|RAP1A|PRKCSH|TREM1|MAPK11|TREM2|IL1B|RAF1|CLEC5A|CD81|MAPK1|PSMD4|NFKB1|DUSP7|DLC1|DUSP3|MAPK8|ITK|ATP6V1E1|PPIA|PSMA1|PSMD9|KLRD1|CD55|PLAUR|HMGB1|CD59|BIRC2|PLCG2|RIPK2|PSMD13|MBL2|CREBBP|TXK|WASF3|FYN|IMPDH2|DOK3|PSMC1|PSMC4|PSMC5|PSMC6|TRAF6|CARD11|PRKCE|VCP|LCP2|SELL|OLR1|CLEC4A|PTPRC|PTPRB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	50	219	3.19E-29	3.72E-27	TGFB2|MAD2L1|NFATC4|TGFBR2|KAT2B|AKT1|AKT3|IKBKG|ETS1|NFYB|SPI1|CCNA2|CCNA1|MAD1L1|PIK3CA|JUN|STAT5A|ETS2|MAPK1|PIK3R3|PIK3R2|ICAM1|MSX1|MYC|TERT|CHEK2|CHEK1|CDKN2C|TEP1|PIK3R1|TCF3|CCNB2|CREB5|MAPK8|CD40|NFKB1|TP53|MSX2|IL2RA|IL2RB|E2F3|E2F1|ADCY3|TBP|ADCY8|IL15|STAT5B|ZFP36|IL15RA|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3601%09red/hsa:3600%09red/hsa:8503%09red/hsa:10000%09red/hsa:3383%09red/hsa:3560%09red/hsa:3725%09red/hsa:4801%09red/hsa:5594%09red/hsa:8379%09red/hsa:9586%09red/hsa:1031%09red/hsa:1111%09red/hsa:8850%09red/hsa:4776%09red/hsa:7538%09red/hsa:5728%09red/hsa:1871%09red/hsa:6688%09red/hsa:109%09red/hsa:4085%09red/hsa:7015%09red/hsa:8517%09red/hsa:9133%09red/hsa:890%09red/hsa:2113%09red/hsa:3559%09red/hsa:5295%09red/hsa:5296%09red/hsa:11200%09red/hsa:4790%09red/hsa:6929%09red/hsa:5599%09red/hsa:6908%09red/hsa:207%09red/hsa:6776%09red/hsa:6777%09red/hsa:8900%09red/hsa:2114%09red/hsa:1387%09red/hsa:7157%09red/hsa:958%09red/hsa:5290%09red/hsa:4488%09red/hsa:7042%09red/hsa:114%09red/hsa:4609%09red/hsa:1869%09red/hsa:4487%09red/hsa:7048%09red
Post-translational protein modification	Reactome	R-HSA-597592	119	1412	4.55E-29	4.97E-27	SCFD1|RPN1|RPN2|ZRANB1|NUDT14|TUSC3|FBXO11|SCG2|IKBKG|USP28|TOPORS|GPS1|PARK7|DNMT1|THRB|FSTL3|RORA|CSNK1D|PHC1|PHC2|MYC|CUL3|BRCA1|TEP1|TRIM25|MUC1|TRIM27|TNIP1|TPR|PTRH2|SOCS2|FEM1B|TRAPPC3|RBBP7|DDX5|BST1|EID3|CTBP1|STC2|MAVS|SNX3|CLSPN|COPS2|FBXO7|KAT2B|GAB1|DAXX|RUVBL1|TUBA1A|PPARGC1A|CYLD|TGFBR2|TOP2A|PPARG|GALNT2|HIC1|UBE2I|RNF5|TP53|TNFAIP3|CREBBP|GAS6|HDAC1|GANAB|TUBA8|YY1|PRKCSH|ARRB1|CBX5|RAB8B|NCOA1|ZBTB16|PSMA1|PSMD4|NAE1|DLC1|ZBED1|LY6E|WAC|RXRA|UBE2D3|SATB2|SATB1|GALNT12|GALNT10|RAB15|TRAPPC6A|ADRB2|PIAS1|BRE|PSMD9|CD55|PLAUR|CD59|BIRC2|NR1H2|RIPK2|PSMD13|FOXO4|SPTBN4|UIMC1|CCNA2|HCFC1|CCNA1|TFAP2C|AURKA|PSMC1|PSMC4|PSMC5|PSMC6|SIN3A|DNMT3B|TRAF6|PDIA6|VCP|IL33|INO80B|OGT|ANK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	52	247	6.98E-29	7.18E-27	HDAC1|RPN2|HDAC5|IL1RL1|FYN|HDAC3|PIK3R3|AKT1|FOXO1|AKT3|IRS2|FOXO4|EED|RBBP4|TSC2|THEM4|CHD4|NEDD4|PSMA1|JUN|MAPK1|PHC1|PIK3R2|PIK3R1|PHC2|PSMC1|MYD88|PIP4K2A|PSMC5|PSMC6|SRC|TRIM27|TEP1|TRAF6|PSMD9|NR4A1|PPARG|IL33|PSMD4|TP53|PPP2CA|PSMC4|RBBP7|PSMD13|KIT|EZH2|PIP4K2C|PIK3CA|PPP2R5D|CD19|PIP5K1B|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Developmental Biology	Reactome	R-HSA-1266738	102	1082	1.86E-28	1.80E-26	TGM1|RPN2|NRCAM|LYPLA2|AKT1|AKT3|MAFB|LHX2|TYROBP|PSMA1|CACNA1G|CBFB|EFNB1|PLXND1|MYC|SHC1|HOXD4|KRT20|CXCL12|GATA2|AKAP5|RBBP7|RBBP4|FOXA3|GRB7|CTCF|H2AFX|GAB2|KAT2B|RRAS|CLTA|EED|TUBA1A|JUN|PPARGC1A|TIAM1|PIK3R3|PIK3R2|PIK3R1|EPHB3|EPHB6|TCF3|HOXB2|HOXB3|KCNQ3|PPARG|NCOA1|RPS6KA2|HNF4A|PSMD13|KRT15|PIK3CA|CREBBP|MYH10|EFNB3|HDAC3|TUBA8|YY1|RET|TRPC1|MAPK11|CDSN|TREM2|NCOR1|SPI1|KRT81|NR2F2|ETF1|MAPK1|KRT6A|NFKB1|MAPK8|SRC|RXRA|SALL1|IRS2|PIAS2|HOXA1|PSMD9|PSMD4|AGRN|MSN|FOXO1|EZH2|SPTBN4|CEBPB|MYOD1|CEBPE|CEBPD|FYN|DOK6|PSMC1|PSMC4|PSMC5|PSMC6|SHANK3|EFNB2|PBX1|E2F1|GRIN2B|ANK2|PTPRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
"Cell Cycle, Mitotic"	Reactome	R-HSA-69278	70	525	1.33E-27	1.23E-25	HDAC1|LCMT1|RPN2|TUBA8|PSMD9|PSMD4|LIN37|PLK4|AKT1|ITGB3BP|AKT3|CDC14A|NDE1|PHLDA1|CDC6|CCNA2|CCNA1|MAD1L1|PSMA1|TUBA1A|CDT1|CSNK1D|MAPK1|PRIM1|AURKA|GORASP2|CDCA5|PSMC1|MYC|PSMC4|PSMC5|PSMC6|TOP2A|CDKN2C|MCM10|VRK1|CCNB2|CDC25C|KIF18A|CDK7|PPP2R2A|TPR|MCM7|MCM6|MCM5|MCM3|MCM2|TK1|TP53|MNAT1|PAFAH1B1|POLA1|E2F6|E2F4|E2F3|E2F1|PPP2CA|DLC1|H2AFX|GMNN|RBBP4|PSMD13|PRKAR2B|DBF4|CEP72|CCNH|PPP2R5D|NCAPG|MAD2L1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278
Mitotic G1-G1/S phases	Reactome	R-HSA-453279	41	147	4.91E-27	4.30E-25	HDAC1|RPN2|PSMD9|PSMD4|LIN37|POLA1|AKT1|AKT3|GMNN|CDC6|CCNA2|CCNA1|CDT1|PSMA1|PRIM1|PSMC1|MYC|PSMC4|PSMC5|PSMC6|TOP2A|CDKN2C|MCM10|PPP2R2A|MCM7|MCM6|MCM5|MCM3|MCM2|TK1|MNAT1|E2F6|E2F4|E2F3|E2F1|PPP2CA|PSMD13|RBBP4|DBF4|CDK7|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453279
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	64	458	2.51E-26	2.09E-24	NCF1|STMN1|PAG1|GAB2|RAP1A|AKT1|ADAM12|AKT3|CLTA|MAPK11|ADAM17|CRK|PDE3B|SH3GL1|AXL|CAV1|STAT6|THEM4|WASF3|NEDD4|PIK3CA|FYN|NTRK3|TIAM1|GRAP2|PIK3R3|PIK3R2|PIK3R1|DOCK3|DUSP7|CDH5|DUSP3|CHEK1|SRC|IGF1R|RALGDS|HSPB1|GRAP|PRKCE|PTPRU|STAT5B|SH2D2A|FER|SH2B3|PTPN3|MST1R|SHC1|CXCL12|PTPN6|RPS6KA2|NCOR1|PPP2CA|ATP6V1E1|IRS2|KIT|GRIN2B|MAPK1|STAT5A|GRB7|TIA1|PPP2R5D|BAIAP2|TLR9|RALA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
Diseases of signal transduction	Reactome	R-HSA-5663202	58	374	5.35E-26	4.26E-24	HDAC1|RPN2|HDAC5|HDAC7|TCF4|PSMD4|ARRB1|GAB2|KAT2B|RAP1A|AKT1|FOXO1|AKT3|IRS2|ADAM17|PSMD9|HDAC3|TSC2|NCOR1|PSMA1|HDAC6|FYN|CNKSR2|MAPK1|PIK3R3|PIK3R2|PIK3R1|PSMC1|MYC|PSMC4|PSMC5|PSMC6|SRC|TEP1|SHC1|TRIM24|NR4A1|CAMK2B|VCP|FXR1|TGFBR2|SND1|HEY2|KSR2|HEY1|FOXO4|PPP2CA|PHB|PSMD13|KIT|STAT5B|STAT5A|PIK3CA|PPP2R5D|CTBP1|CD19|CREBBP|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	56	359	2.98E-25	2.27E-23	HDAC1|TCEB3|ERCC2|PRDX2|AKT1|AKT3|MAPK11|NDRG1|BRIP1|TSC2|TP63|CCNA2|CHD4|CCNA1|FAS|JUN|TRIAP1|CHEK2|AURKA|PIP4K2A|GTF2H1|PIP4K2C|CHEK1|BRCA1|PLAGL1|TEP1|DAXX|CDC25C|RFFL|GTF2H5|GTF2H4|GLS2|TP53BP2|MNAT1|TCEA1|TAF2|E2F4|TP53|TOPBP1|E2F1|PPP2CA|TBP|MEAF6|G6PD|RBBP7|TP73|RBBP4|SFN|TAF1|PRDM1|CDK7|CDK9|BCL6|CCNH|CREBBP|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
G1/S Transition	Reactome	R-HSA-69206	37	130	8.71E-25	6.35E-23	HDAC1|RPN2|PSMD9|PSMD4|LIN37|POLA1|AKT1|AKT3|GMNN|CDC6|CCNA2|CCNA1|CDT1|PSMA1|PRIM1|PSMC1|MYC|PSMC4|PSMC5|PSMC6|MCM10|MCM7|MCM6|MCM5|MCM3|MCM2|TK1|MNAT1|E2F6|E2F4|E2F1|PPP2CA|PSMD13|RBBP4|DBF4|CDK7|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69206
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	42	201	1.83E-23	1.28E-21	HDAC1|RPN2|NEDD4|IFNAR2|PLCG2|AKT3|IKBKG|TYK2|CCNA2|CCNA1|FAS|JUN|MAPK11|PSMD13|PIK3R3|PIK3R2|ICAM1|PSMD4|PSMC1|MYC|MYD88|PSMC4|PSMC5|PSMC6|SIN3A|PIK3R1|TRAF6|CD40|NFKB1|TP53|MAPK8|CR2|E2F3|E2F1|AKT1|TNFAIP3|RUNX3|CD247|PIK3CA|MAVS|BTK|CD19	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:8503%09red/hsa:10000%09red/hsa:3383%09red/hsa:7297%09red/hsa:3725%09red/hsa:355%09red/hsa:7157%09red/hsa:930%09red/hsa:7128%09red/hsa:3455%09red/hsa:864%09red/hsa:1871%09red/hsa:7189%09red/hsa:3065%09red/hsa:4615%09red/hsa:5600%09red/hsa:5706%09red/hsa:5707%09red/hsa:5704%09red/hsa:8900%09red/hsa:5700%09red/hsa:5336%09red/hsa:8517%09red/hsa:890%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:57506%09red/hsa:5599%09red/hsa:207%09red/hsa:695%09red/hsa:919%09red/hsa:5705%09red/hsa:4790%09red/hsa:4734%09red/hsa:1380%09red/hsa:958%09red/hsa:5710%09red/hsa:5719%09red/hsa:4609%09red/hsa:1869%09red/hsa:25942%09red
FLT3 Signaling	Reactome	R-HSA-9607240	46	252	1.97E-23	1.33E-21	CNKSR2|RPN2|PSMD9|RASGRP4|PSMD4|GAB2|RET|IRS2|ARRB1|SPTBN4|THEM4|PSMA1|FYN|PDE3B|PEA15|MAPK1|DUSP9|PIK3R2|PIK3R1|PSMC1|DUSP7|ANGPT1|PSMC4|PSMC5|PSMC6|DUSP2|SRC|SHC1|CAMK2B|TEK|RAP1A|KSR2|IL2RA|IL2RB|TLR9|PPP2CA|PHB|PSMD13|KIT|GRIN2B|STAT5B|STAT5A|PIK3CA|PPP2R5D|CUL3|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Osteoclast differentiation	KEGG PATHWAY	hsa04380	35	128	4.91E-23	3.18E-21	NCF1|FYN|FOSB|GAB2|TGFB2|IFNAR2|AKT1|AKT3|IKBKG|TREM2|IL1B|TYK2|SPI1|LILRB2|TYROBP|OSCAR|JUN|FHL2|MAPK1|PIK3R3|PIK3R2|PIK3R1|FOSL2|NFKB1|MAPK8|TGFBR2|TRAF6|PPARG|PIK3CA|LCP2|PLCG2|CYLD|SIRPB1|BTK|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:8503%09red/hsa:7189%09red/hsa:10000%09red/hsa:7297%09red/hsa:3725%09red/hsa:2534%09red/hsa:5594%09red/hsa:3937%09red/hsa:1540%09red/hsa:126014%09red/hsa:3455%09red/hsa:2274%09red/hsa:7305%09red/hsa:6688%09red/hsa:5600%09red/hsa:2354%09red/hsa:2355%09red/hsa:10326%09red/hsa:5336%09red/hsa:3553%09red/hsa:8517%09red/hsa:10288%09red/hsa:54209%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:5599%09red/hsa:653361%09red/hsa:207%09red/hsa:695%09red/hsa:7042%09red/hsa:9846%09red/hsa:5468%09red/hsa:7048%09red
Other interleukin signaling	Reactome	R-HSA-449836	47	275	7.45E-23	4.66E-21	CNKSR2|RPN2|PSMD9|RASGRP4|PSMD4|GAB2|RET|IRS2|ARRB1|TYK2|SPTBN4|THEM4|PSMA1|FYN|PDE3B|PEA15|MAPK1|DUSP9|PIK3R2|PIK3R1|PSMC1|DUSP7|ANGPT1|PSMC4|PSMC5|PSMC6|DUSP2|SRC|SHC1|CAMK2B|TEK|RAP1A|KSR2|IL2RA|IL2RB|TLR9|PPP2CA|PHB|PSMD13|KIT|GRIN2B|STAT5B|STAT5A|PIK3CA|PPP2R5D|CUL3|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
Angiogenesis	PANTHER	P00005	36	158	2.21E-21	1.33E-19	EFNB2|SPHK2|EFNB1|EPHB3|PLCG2|AKT3|CRK|ETS1|TEK|GRAP|PIK3CA|JUN|DOK3|DVL1|PIK3R3|PIK3R2|PIK3R1|TGFB1I1|MAPK8|ANGPT1|PRKCH|SHC1|HSPB1|PRKCE|SRC|SH2D2A|TCF4|PTPN6|SFRP1|AKT1|WNT2|PTPRB|GRB7|MAPK1|WNT7A|PRKD1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Cellular responses to stress	Reactome	R-HSA-2262752	54	422	8.20E-21	4.78E-19	NCF1|TUBA8|PSMD9|HSPA4|RBBP7|HSPA9|PRDX2|UBE2D3|EZH2|NOX4|EED|ID1|ETS1|CEBPB|TXNRD2|CCNA2|CCNA1|PSMA1|TUBA1A|HDAC6|JUN|ETS2|MAPK1|PHC1|PHC2|PSMC1|MAPK8|PSMC4|PSMC5|PSMC6|CDKN2C|SIRT1|HSPA13|SP1|HSPA4L|CAMK2B|HMGA1|VCP|RPN2|TPR|CITED2|TP53|PSMD4|RPS6KA2|E2F3|E2F1|DLC1|H2AFX|NFKB1|PSMD13|RBBP4|GPX7|CREBBP|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Cellular senescence	KEGG PATHWAY	hsa04218	35	160	2.48E-20	1.40E-18	TGFB2|NFATC4|LIN37|RASSF5|RRAS|AKT1|FOXO1|AKT3|MAPK11|TSC2|ETS1|CCNA2|CCNA1|PIK3CA|MAPK1|PIK3R3|PIK3R2|PIK3R1|TRAF3IP2|MYC|CHEK2|CHEK1|TGFBR2|SIRT1|TEP1|MRAS|NFKB1|TP53|CCNB2|E2F4|E2F3|E2F1|PPP1CA|RBBP4|KIR2DL3	http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:8503%09red/hsa:10000%09red/hsa:23411%09red/hsa:10758%09red/hsa:1111%09red/hsa:6237%09red/hsa:4776%09red/hsa:7249%09red/hsa:5928%09red/hsa:5728%09red/hsa:1871%09red/hsa:5499%09red/hsa:1874%09red/hsa:9133%09red/hsa:5600%09red/hsa:8900%09red/hsa:5594%09red/hsa:890%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:3802%09red/hsa:4790%09red/hsa:83593%09red/hsa:207%09red/hsa:55957%09red/hsa:2113%09red/hsa:11200%09red/hsa:7157%09red/hsa:7048%09red/hsa:7042%09red/hsa:4609%09red/hsa:1869%09red/hsa:22808%09red/hsa:2308%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	37	186	3.34E-20	1.83E-18	HDAC1|TGFBR2|SCG2|FOXO1|ERG|RUNX1T1|SUPT3H|NCOR1|CEBPB|SPI1|ZBTB16|CEBPE|CCNA1|HOXA10|NR4A3|JMJD1C|NFKB1|MYC|SIN3A|CDKN2C|IGF1R|TCF3|SP1|CD40|RXRA|PAX5|PPARG|PAX8|PBX1|IL2RB|TP53|PER2|RUNX2|DDX5|CD14|CDK9|BCL6	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:8464%09red/hsa:860%09red/hsa:3560%09red/hsa:3480%09red/hsa:8013%09red/hsa:7157%09red/hsa:929%09red/hsa:1655%09red/hsa:604%09red/hsa:1031%09red/hsa:862%09red/hsa:4221%09red/hsa:1053%09red/hsa:1051%09red/hsa:3065%09red/hsa:221037%09red/hsa:6688%09red/hsa:8900%09red/hsa:6667%09red/hsa:9611%09red/hsa:6256%09red/hsa:5079%09red/hsa:4790%09red/hsa:6929%09red/hsa:25942%09red/hsa:2078%09red/hsa:1025%09red/hsa:3206%09red/hsa:7048%09red/hsa:5087%09red/hsa:958%09red/hsa:7704%09red/hsa:8864%09red/hsa:7849%09red/hsa:4609%09red/hsa:5468%09red/hsa:2308%09red
Cellular responses to external stimuli	Reactome	R-HSA-8953897	58	516	8.23E-20	4.36E-18	NCF1|TUBA8|MT2A|HSPA4|RBBP7|CHMP4B|CHMP4C|PRDX2|UBE2D3|EZH2|NOX4|EED|ID1|TSC2|ETS1|CEBPB|TXNRD2|CCNA2|CCNA1|PSMA1|TUBA1A|HDAC6|JUN|ETS2|MAPK1|PHC1|PHC2|CITED2|MAPK8|PSMC4|HSPA9|PSMC6|CDKN2C|SIRT1|HSPA13|SP1|PSMD9|HSPA4L|CAMK2B|HMGA1|VCP|RPN2|TPR|PSMC1|TP53|PSMD4|RPS6KA2|E2F3|E2F1|DLC1|H2AFX|NFKB1|PSMD13|RBBP4|GPX7|PSMC5|CREBBP|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	35	170	1.34E-19	6.89E-18	HDAC1|BRCA1|IKBKG|CBX5|TOPORS|DAXX|NCOA1|HIC1|PARK7|DNMT1|THRB|PPARGC1A|RORA|PHC1|AURKA|PHC2|NR1H2|TOP2A|DNMT3B|ZBED1|TRIM27|RXRA|PPARG|SATB2|SATB1|UBE2I|TP53|DDX5|PIAS1|EID3|CTBP1|SIN3A|TFAP2C|CREBBP|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232
MAPK family signaling cascades	Reactome	R-HSA-5683057	43	278	1.46E-19	7.31E-18	RPN2|PSMD9|RASGRP4|JUN|RAP1A|FOXO1|PSMD13|ARRB1|TYK2|SPTBN4|TEK|IRS2|PSMA1|FYN|CNKSR2|PEA15|MAPK1|DUSP9|PSMD4|PSMC1|MYC|ANGPT1|PSMC4|PSMC5|PSMC6|DUSP2|SRC|SHC1|HSPB1|CAMK2B|RET|KSR2|DUSP7|IL2RA|IL2RB|PPP2CA|PHB|CDC14A|KIT|GRIN2B|PPP2R5D|CUL3|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Hepatitis B	KEGG PATHWAY	hsa05161	34	163	3.12E-19	1.52E-17	TGFB2|NFATC4|TGFBR2|AKT1|AKT3|IKBKG|TYK2|STAT6|CCNA2|CCNA1|FAS|JUN|MAPK1|PIK3R3|PIK3R2|PIK3R1|NFKB1|MYC|MYD88|STAT5B|SRC|TRAF6|CREB5|TP53|MAPK8|E2F3|E2F1|TLR3|STAT5A|TLR4|PIK3CA|MAVS|CREBBP|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:8503%09red/hsa:9586%09red/hsa:7297%09red/hsa:3725%09red/hsa:5594%09red/hsa:355%09red/hsa:6778%09red/hsa:10000%09red/hsa:7098%09red/hsa:7099%09red/hsa:4776%09red/hsa:1871%09red/hsa:7189%09red/hsa:4615%09red/hsa:5600%09red/hsa:8900%09red/hsa:8517%09red/hsa:890%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:57506%09red/hsa:5599%09red/hsa:6714%09red/hsa:207%09red/hsa:6776%09red/hsa:6777%09red/hsa:4790%09red/hsa:1387%09red/hsa:7157%09red/hsa:7042%09red/hsa:4609%09red/hsa:1869%09red/hsa:7048%09red
