"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cyclin A:Cdk2-associated events at S phase entry	Reactome	R-HSA-69656	3	84	0.006830652	0.022109596	PSMD4|CCNH|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69656
Global Genome Nucleotide Excision Repair (GG-NER)	Reactome	R-HSA-5696399	3	84	0.006830652	0.022109596	COPS2|UBE2I|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696399
PI Metabolism	Reactome	R-HSA-1483255	3	84	0.006830652	0.022109596	PIK3CA|PIK3R3|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483255
RNA transport	KEGG PATHWAY	hsa03013	4	165	0.006841807	0.022109596	UBE2I|THOC1|XPOT|RANBP2	http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:9984%09red/hsa:5903%09red/hsa:11260%09red/hsa:7329%09red
APC/C-mediated degradation of cell cycle proteins	Reactome	R-HSA-174143	3	85	0.00704912	0.022627674	PSMD4|MAD2L1|CDC14A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174143
Regulation of mitotic cell cycle	Reactome	R-HSA-453276	3	85	0.00704912	0.022627674	PSMD4|MAD2L1|CDC14A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453276
Meiotic recombination	Reactome	R-HSA-912446	3	86	0.007271696	0.023040316	RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912446
Cellular response to heat stress	Reactome	R-HSA-3371556	3	86	0.007271696	0.023040316	VCP|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371556
"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	Reactome	R-HSA-1368108	2	27	0.007273371	0.023040316	NPAS2|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368108
3-phosphoinositide biosynthesis	BioCyc	PWY-6352	2	27	0.007273371	0.023040316	PIK3CA|PIK3R3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6352
Notch-HLH transcription pathway	Reactome	R-HSA-350054	2	28	0.00777044	0.024454033	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-350054
Interconversion of nucleotide di- and triphosphates	Reactome	R-HSA-499943	2	28	0.00777044	0.024454033	AK1|DCTPP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-499943
M Phase	Reactome	R-HSA-68886	6	384	0.007954142	0.024950616	MAD2L1|VRK1|CLASP2|PSMD4|RB1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886
Myogenesis	Reactome	R-HSA-525793	2	29	0.008282405	0.02589596	TCF3|TCF12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-525793
EGFR downregulation	Reactome	R-HSA-182971	2	30	0.008809124	0.027365118	PTPN3|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-182971
RNA Polymerase I Transcription Termination	Reactome	R-HSA-73863	2	30	0.008809124	0.027365118	PTRF|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73863
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	3	93	0.008946224	0.027701651	TNF|IKBKG|IKBKE	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:7124%09red/hsa:8517%09red/hsa:9641%09red
Tuberculosis	KEGG PATHWAY	hsa05152	4	179	0.008996861	0.027769156	CD14|TNF|BAX|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:7124%09red/hsa:1387%09red/hsa:929%09red/hsa:581%09red
TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	3	94	0.009202277	0.028132677	TNF|ID2|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:7124%09red/hsa:1387%09red/hsa:3398%09red
@@TGF-beta signaling pathway	PANTHER	P00052	2	91	0.063848324	0.111425374	CITED2|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00052
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Reactome	R-HSA-141444	3	94	0.009202277	0.028132677	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141444
Amplification of signal from the kinetochores	Reactome	R-HSA-141424	3	94	0.009202277	0.028132677	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141424
Antifolate resistance	KEGG PATHWAY	hsa01523	2	31	0.00935046	0.028495232	TNF|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa01523/hsa:7124%09red/hsa:8517%09red
Metabolism of nucleotides	Reactome	R-HSA-15869	3	95	0.009462585	0.028745959	HPRT1|DCTPP1|AK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-15869
Negative regulation of the PI3K/AKT network	Reactome	R-HSA-199418	3	96	0.009727159	0.029456775	PIK3CA|PIK3R3|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199418
Neuronal System	Reactome	R-HSA-112316	6	402	0.009796063	0.029572442	KCNJ15|KCNAB1|KCNK1|SIPA1L1|KCNA2|KCNA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112316
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	3	97	0.009996015	0.030081757	CD14|TNF|CD55	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:7124%09red/hsa:929%09red/hsa:1604%09red
Separation of Sister Chromatids	Reactome	R-HSA-2467813	4	186	0.010223085	0.030669255	PSMD4|MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2467813
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	3	98	0.010269164	0.030711817	PSMD4|CD14|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	2	33	0.010476432	0.031154584	BIRC2|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:329%09red/hsa:581%09red
Progesterone-mediated oocyte maturation	KEGG PATHWAY	hsa04914	3	99	0.010546619	0.031154584	PIK3CA|MAD2L1|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04914/hsa:5290%09red/hsa:4085%09red/hsa:8503%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	hsa04070	3	99	0.010546619	0.031154584	PIK3CA|PIK3R3|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04070/hsa:5290%09red/hsa:5728%09red/hsa:8503%09red
CLEC7A (Dectin-1) signaling	Reactome	R-HSA-5607764	3	99	0.010546619	0.031154584	PSMD4|MAP3K14|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5607764
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	4	190	0.010970042	0.032207774	CCL18|PIK3CA|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:5290%09red/hsa:8517%09red/hsa:8503%09red/hsa:6362%09red
SUMOylation of ubiquitinylation proteins	Reactome	R-HSA-3232142	2	34	0.011060795	0.032375517	UBE2I|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232142
Metabolism	Reactome	R-HSA-1430728	17	2075	0.011451657	0.033418017	UBE2I|FHL2|DBP|PSMD4|HPRT1|MED17|NPAS2|PGM1|AZI2|PTEN|DCTPP1|PIK3CA|PIK3R3|RANBP2|AK1|CREBBP|DHCR24	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
G2/M Transition	Reactome	R-HSA-69275	4	193	0.011552773	0.03361124	PSMD4|TP53|FOXM1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69275
GPVI-mediated activation cascade	Reactome	R-HSA-114604	2	35	0.011659228	0.033818786	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114604
NOD1/2 Signaling Pathway	Reactome	R-HSA-168638	2	36	0.012271599	0.035488137	BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168638
Focal adhesion	KEGG PATHWAY	hsa04510	4	199	0.012777121	0.036838158	PIK3CA|PIK3R3|BIRC2|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:5290%09red/hsa:329%09red/hsa:5728%09red/hsa:8503%09red
Aldosterone-regulated sodium reabsorption	KEGG PATHWAY	hsa04960	2	37	0.012897773	0.036838158	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04960/hsa:5290%09red/hsa:8503%09red
HDR through Single Strand Annealing (SSA)	Reactome	R-HSA-5685938	2	37	0.012897773	0.036838158	RBBP8|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685938
Apoptotic cleavage of cellular proteins	Reactome	R-HSA-111465	2	37	0.012897773	0.036838158	BIRC2|ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111465
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	5	308	0.012929696	0.036838158	PSMD4|UBE4A|FBXO11|TRIP12|FBXO7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168
Inflammation mediated by chemokine and cytokine signaling pathway	PANTHER	P00031	4	201	0.013202922	0.037498495	CCL18|PIK3CA|NFATC4|PTEN	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	3	108	0.013239344	0.037498495	FOXO1|TNF|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	3	109	0.013560455	0.038183386	PIK3CA|PIK3R3|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:5290%09red/hsa:1387%09red/hsa:8503%09red
RNA Polymerase I Promoter Clearance	Reactome	R-HSA-73854	3	109	0.013560455	0.038183386	EHMT2|CCNH|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73854
Mitotic Spindle Checkpoint	Reactome	R-HSA-69618	3	110	0.013885982	0.038986007	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69618
RET signaling	Reactome	R-HSA-8853659	2	39	0.014191004	0.039680993	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853659
Nucleotide Excision Repair	Reactome	R-HSA-5696398	3	111	0.014215932	0.039680993	COPS2|UBE2I|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696398
@@Nucleotide excision repair	KEGG PATHWAY	hsa03420	1	47	0.191422629	0.233341762	CCNH	http://www.genome.jp/kegg-bin/show_pathway?hsa03420/hsa:902%09red
Signaling by SCF-KIT	Reactome	R-HSA-1433557	2	40	0.014857799	0.04132056	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433557
Toxoplasmosis	KEGG PATHWAY	hsa05145	3	113	0.014889132	0.04132056	TNF|BIRC2|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05145/hsa:7124%09red/hsa:329%09red/hsa:8517%09red
protein ubiquitylation	BioCyc	PWY-7511	2	41	0.015537873	0.042997044	UBE2I|RNF216	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7511
cAMP signaling pathway	KEGG PATHWAY	hsa04024	4	214	0.016191351	0.044658706	PIK3CA|SOX9|PIK3R3|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:5290%09red/hsa:1387%09red/hsa:8503%09red/hsa:6662%09red
SUMOylation of DNA replication proteins	Reactome	R-HSA-4615885	2	42	0.016231098	0.044658706	UBE2I|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4615885
Formation of Incision Complex in GG-NER	Reactome	R-HSA-5696395	2	43	0.016937345	0.046469127	UBE2I|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696395
AMPK signaling pathway	KEGG PATHWAY	hsa04152	3	120	0.017385618	0.047563494	PIK3CA|FOXO1|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:5290%09red/hsa:8503%09red/hsa:2308%09red
Carbohydrate digestion and absorption	KEGG PATHWAY	hsa04973	2	44	0.017656489	0.048031635	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04973/hsa:5290%09red/hsa:8503%09red
Interleukin-2 family signaling	Reactome	R-HSA-451927	2	44	0.017656489	0.048031635	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451927
Activation of HOX genes during differentiation	Reactome	R-HSA-5619507	3	121	0.017760141	0.048042179	HOXB3|HOXA1|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Reactome	R-HSA-5617472	3	121	0.017760141	0.048042179	HOXB3|HOXA1|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617472
NOTCH1 Intracellular Domain Regulates Transcription	Reactome	R-HSA-2122947	2	45	0.018388402	0.049602328	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122947
Resolution of Sister Chromatid Cohesion	Reactome	R-HSA-2500257	3	123	0.01852264	0.049824868	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2500257
Oxidative Stress Induced Senescence	Reactome	R-HSA-2559580	3	124	0.018910623	0.050726824	E2F3|CBX4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559580
Nuclear Envelope Breakdown	Reactome	R-HSA-2980766	2	46	0.019132959	0.051180666	VRK1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980766
HIV Infection	Reactome	R-HSA-162906	4	227	0.019573074	0.052212937	PSMD4|CCNH|NMT2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162906
Signaling by ERBB2	Reactome	R-HSA-1227986	2	47	0.019890036	0.052766129	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1227986
"Interleukin-3, Interleukin-5 and GM-CSF signaling"	Reactome	R-HSA-512988	2	47	0.019890036	0.052766129	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-512988
Autophagy - animal	KEGG PATHWAY	hsa04140	3	128	0.020507496	0.054254721	PIK3CA|PIK3R3|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04140/hsa:5290%09red/hsa:5728%09red/hsa:8503%09red
Signaling by NOTCH3	Reactome	R-HSA-9012852	2	48	0.020659509	0.054507142	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9012852
Huntington disease	PANTHER	P00029	3	129	0.020917959	0.055038237	TP53|BAX|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00029
@@Huntington disease	KEGG PATHWAY	hsa05016	3	193	0.056405545	0.103463885	TP53|BAX|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:1387%09red/hsa:581%09red/hsa:7157%09red
Ras signaling pathway	KEGG PATHWAY	hsa04014	4	232	0.020981266	0.055054383	PIK3CA|ETS1|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:5290%09red/hsa:2113%09red/hsa:8517%09red/hsa:8503%09red
Purine metabolism	KEGG PATHWAY	hsa00230	3	130	0.021332923	0.055523257	HPRT1|AK1|PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:203%09red/hsa:5236%09red/hsa:3251%09red
Fc epsilon receptor (FCERI) signaling	Reactome	R-HSA-2454202	3	130	0.021332923	0.055523257	PSMD4|IKBKG|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2454202
G1/S Transition	Reactome	R-HSA-69206	3	130	0.021332923	0.055523257	PSMD4|CCNH|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69206
XBP1(S) activates chaperone genes	Reactome	R-HSA-381038	2	49	0.021441254	0.055654793	SRPRB|ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381038
Natural killer cell mediated cytotoxicity	KEGG PATHWAY	hsa04650	3	131	0.021752389	0.05631062	PIK3CA|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04650/hsa:5290%09red/hsa:7124%09red/hsa:8503%09red
Intrinsic Pathway for Apoptosis	Reactome	R-HSA-109606	2	50	0.022235151	0.057406034	TP53|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109606
Mitotic Prophase	Reactome	R-HSA-68875	3	134	0.023037798	0.059012122	VRK1|RB1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68875
IRE1alpha activates chaperones	Reactome	R-HSA-381070	2	51	0.023041078	0.059012122	SRPRB|ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381070
Autodegradation of the E3 ubiquitin ligase COP1	Reactome	R-HSA-349425	2	51	0.023041078	0.059012122	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-349425
Late Phase of HIV Life Cycle	Reactome	R-HSA-162599	3	136	0.023917246	0.060932031	CCNH|NMT2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162599
RHO GTPases Activate Formins	Reactome	R-HSA-5663220	3	136	0.023917246	0.060932031	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663220
Insulin signaling pathway	KEGG PATHWAY	hsa04910	3	137	0.02436372	0.061905706	PIK3CA|FOXO1|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5290%09red/hsa:8503%09red/hsa:2308%09red
Regulation of RUNX3 expression and activity	Reactome	R-HSA-8941858	2	53	0.02468854	0.062565958	PSMD4|CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941858
Estrogen signaling pathway	KEGG PATHWAY	hsa04915	3	138	0.024814693	0.062720603	FKBP5|PIK3R3|PIK3CA	http://www.genome.jp/kegg-bin/show_pathway?hsa04915/hsa:5290%09red/hsa:8503%09red/hsa:2289%09red
Fanconi anemia pathway	KEGG PATHWAY	hsa03460	2	54	0.025529837	0.063732438	RAD51C|RAD51	http://www.genome.jp/kegg-bin/show_pathway?hsa03460/hsa:5889%09red/hsa:5888%09red
tRNA processing in the nucleus	Reactome	R-HSA-6784531	2	54	0.025529837	0.063732438	XPOT|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6784531
Formation of TC-NER Pre-Incision Complex	Reactome	R-HSA-6781823	2	54	0.025529837	0.063732438	COPS2|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781823
IRF3 mediated activation of type 1 IFN	Reactome	R-HSA-1606341	1	5	0.026196439	0.063732438	IRF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606341
MET activates PI3K/AKT signaling	Reactome	R-HSA-8851907	1	5	0.026196439	0.063732438	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851907
RUNX1 regulates transcription of genes involved in interleukin signaling	Reactome	R-HSA-8939247	1	5	0.026196439	0.063732438	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939247
RUNX3 Regulates Immune Response and Cell Migration	Reactome	R-HSA-8949275	1	5	0.026196439	0.063732438	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8949275
PTK6 Expression	Reactome	R-HSA-8849473	1	5	0.026196439	0.063732438	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849473
G2 Phase	Reactome	R-HSA-68911	1	5	0.026196439	0.063732438	E2F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68911
RUNX1 regulates expression of components of tight junctions	Reactome	R-HSA-8935964	1	5	0.026196439	0.063732438	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8935964
Activation of NOXA and translocation to mitochondria	Reactome	R-HSA-111448	1	5	0.026196439	0.063732438	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111448
TFAP2 (AP-2) family regulates transcription of cell cycle factors	Reactome	R-HSA-8866911	1	5	0.026196439	0.063732438	TFAP2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866911
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	2	55	0.026382688	0.063732438	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:5290%09red/hsa:8503%09red
Stabilization of p53	Reactome	R-HSA-69541	2	55	0.026382688	0.063732438	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69541
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	Reactome	R-HSA-5362768	2	55	0.026382688	0.063732438	VCP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362768
Transcriptional activation of mitochondrial biogenesis	Reactome	R-HSA-2151201	2	55	0.026382688	0.063732438	MAML2|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2151201
superpathway of purine nucleotide salvage	BioCyc	PWY66-409	2	55	0.026382688	0.063732438	HPRT1|AK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-409
Infectious disease	Reactome	R-HSA-5663205	5	372	0.026406275	0.063732438	PSMD4|RANBP2|SH3GL1|NMT2|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	2	57	0.028122581	0.067368273	VCP|RNF40	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
Metabolism of polyamines	Reactome	R-HSA-351202	2	57	0.028122581	0.067368273	AZI2|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-351202
Complement cascade	Reactome	R-HSA-166658	2	57	0.028122581	0.067368273	MBL2|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166658
Epigenetic regulation of gene expression	Reactome	R-HSA-212165	3	146	0.02858419	0.068304157	EHMT2|CCNH|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212165
Hh mutants abrogate ligand secretion	Reactome	R-HSA-5387390	2	58	0.029009392	0.068977887	VCP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5387390
NIK-->noncanonical NF-kB signaling	Reactome	R-HSA-5676590	2	58	0.029009392	0.068977887	PSMD4|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676590
Signaling by Hedgehog	Reactome	R-HSA-5358351	3	148	0.029571382	0.070140986	VCP|PSMD4|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358351
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	2	59	0.029907292	0.070256801	CBX4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
Dectin-1 mediated noncanonical NF-kB signaling	Reactome	R-HSA-5607761	2	59	0.029907292	0.070256801	PSMD4|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5607761
HIV Life Cycle	Reactome	R-HSA-162587	3	149	0.03007168	0.070256801	CCNH|NMT2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162587
Adenine and hypoxanthine salvage pathway	PANTHER	P02723	1	6	0.030495683	0.070256801	HPRT1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02723
RUNX1 regulates estrogen receptor mediated transcription	Reactome	R-HSA-8931987	1	6	0.030495683	0.070256801	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8931987
RUNX1 regulates transcription of genes involved in BCR signaling	Reactome	R-HSA-8939245	1	6	0.030495683	0.070256801	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939245
Activated NTRK3 signals through PI3K	Reactome	R-HSA-9603381	1	6	0.030495683	0.070256801	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9603381
Activated NTRK2 signals through PI3K	Reactome	R-HSA-9028335	1	6	0.030495683	0.070256801	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9028335
RUNX1 regulates transcription of genes involved in WNT signaling	Reactome	R-HSA-8939256	1	6	0.030495683	0.070256801	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939256
TNFR1-mediated ceramide production	Reactome	R-HSA-5626978	1	6	0.030495683	0.070256801	TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5626978
D-galactose degradation V (Leloir pathway)	BioCyc	PWY66-422	1	6	0.030495683	0.070256801	PGM1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-422
Metabolism of RNA	Reactome	R-HSA-8953854	7	667	0.030676757	0.070505292	XPOT|PSMD4|DDX5|THOC1|BRF1|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Defective CFTR causes cystic fibrosis	Reactome	R-HSA-5678895	2	60	0.030816168	0.070657071	VCP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5678895
B cell activation	PANTHER	P00010	2	61	0.031735906	0.072421037	PIK3CA|NFATC4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00010
Transcriptional Regulation by MECP2	Reactome	R-HSA-8986944	2	61	0.031735906	0.072421037	FKBP5|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8986944
